sample	Drosophila_ananassae	Drosophila_biarmipes	Drosophila_bipectinata	Drosophila_erecta	Drosophila_eugracilis	Drosophila_mauritiana	Drosophila_mojavensis	Drosophila_persimilis	Drosophila_pseudoobscura	Drosophila_sechellia	Drosophila_simulans	Drosophila_virilis	Drosophila_willistoni	Drosophila_yakuba
Drosophila_ananassae	0.0	0.12238525530013278	0.0697931763151931	0.1230164571933342	0.11863766405805021	0.12148916234138185	0.1654162626556558	0.13804217052459522	0.13779171212560082	0.12130030814503756	0.12086733328440802	0.16355465631257393	0.16045614524988427	0.12364454094861088
Drosophila_biarmipes	0.12238525530013278	0.0	0.12179942371632879	0.09853436009083394	0.09443909190027255	0.0964076115894349	0.16553906687983622	0.13645669301113494	0.13614395266884116	0.09815096367510545	0.0958976098240677	0.16332508450734684	0.16112799467622374	0.09918851348820801
Drosophila_bipectinata	0.0697931763151931	0.12179942371632879	0.0	0.12345688323791071	0.11810657824005422	0.11957904638134742	0.1540869532015201	0.13862949082529608	0.1383582387666512	0.12273986732749509	0.12142196771937253	0.16473188831721586	0.16085309801634584	0.12405662725736166
Drosophila_erecta	0.1230164571933342	0.09853436009083394	0.12345688323791071	0.0	0.09559538536296286	0.06256495394070583	0.16316456434888238	0.1356862555953211	0.13531371386326618	0.06460555693598657	0.06191662022176003	0.1612708649611989	0.15899426759569146	0.060120070857966446
Drosophila_eugracilis	0.11863766405805021	0.09443909190027255	0.11810657824005422	0.09559538536296286	0.0	0.09290530757823046	0.1630357416766508	0.13392132926213807	0.13358042482241084	0.09468378048827764	0.0923436300378414	0.16096720505848816	0.1574535714054499	0.0959038341490479
Drosophila_mauritiana	0.12148916234138185	0.0964076115894349	0.11957904638134742	0.06256495394070583	0.09290530757823046	0.0	0.1472897951934261	0.13405740414356815	0.13405644696680297	0.022145109464686175	0.018586115141923765	0.16116552108351234	0.15842577881213427	0.06335605799104449
Drosophila_mojavensis	0.1654162626556558	0.16553906687983622	0.1540869532015201	0.16316456434888238	0.1630357416766508	0.1472897951934261	0.0	0.15987889163773283	0.15995189570692792	0.16265942207192752	0.15582440176959322	0.11514233562502485	0.15922331192945793	0.16373941550837368
Drosophila_persimilis	0.13804217052459522	0.13645669301113494	0.13862949082529608	0.1356862555953211	0.13392132926213807	0.13405740414356815	0.15987889163773283	0.0	0.01727259601810882	0.1355643921277495	0.13422299969942642	0.1584871119857879	0.15628718170379519	0.13632061209610546
Drosophila_pseudoobscura	0.13779171212560082	0.13614395266884116	0.1383582387666512	0.13531371386326618	0.13358042482241084	0.13405644696680297	0.15995189570692792	0.01727259601810882	0.0	0.13529621370892964	0.133721973618376	0.15623782991109814	0.15609968867146473	0.13601755608552135
Drosophila_sechellia	0.12130030814503756	0.09815096367510545	0.12273986732749509	0.06460555693598657	0.09468378048827764	0.022145109464686175	0.16265942207192752	0.1355643921277495	0.13529621370892964	0.0	0.020562255840610444	0.16223214567303013	0.15919297478397332	0.06539515664756557
Drosophila_simulans	0.12086733328440802	0.0958976098240677	0.12142196771937253	0.06191662022176003	0.0923436300378414	0.018586115141923765	0.15582440176959322	0.13422299969942642	0.133721973618376	0.020562255840610444	0.0	0.16079621936611066	0.15828883438938723	0.06268807216715833
Drosophila_virilis	0.16355465631257393	0.16332508450734684	0.16473188831721586	0.1612708649611989	0.16096720505848816	0.16116552108351234	0.11514233562502485	0.1584871119857879	0.15623782991109814	0.16223214567303013	0.16079621936611066	0.0	0.1589873210508178	0.16199772002160973
Drosophila_willistoni	0.16045614524988427	0.16112799467622374	0.16085309801634584	0.15899426759569146	0.1574535714054499	0.15842577881213427	0.15922331192945793	0.15628718170379519	0.15609968867146473	0.15919297478397332	0.15828883438938723	0.1589873210508178	0.0	0.1596918705515673
Drosophila_yakuba	0.12364454094861088	0.09918851348820801	0.12405662725736166	0.060120070857966446	0.0959038341490479	0.06335605799104449	0.16373941550837368	0.13632061209610546	0.13601755608552135	0.06539515664756557	0.06268807216715833	0.16199772002160973	0.1596918705515673	0.0
