bin,TP,FN,FP,TN,precision,recall,bin_size,bin_min,bin_max,time_s,K,tool,sw_version,min_version,p,l,clmn,tag_size,map_size_G,kmer_cnt,kmer_l_0,kmer_l_1,kmers_included,prct_included
0,0.9987340063299683,0.0012659936700316497,0.6202828985855071,0.3797171014144929,0.6168768240144531,0.9987340063299683,10,0.0,0.0,0.0,0.0,clarkS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9771725559976852,0.022827444002314873,0.6202828985855071,0.3797171014144929,0.6117056680323201,0.9771725559976852,43,0.00014350299999999998,0.049462599999999995,0.0,0.0,clarkS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9131054344728277,0.08689456552717237,0.6202828985855071,0.3797171014144929,0.5954821846411494,0.9131054344728277,19,0.05767100000000001,0.145727,0.0,0.0,clarkS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.758907087817502,0.2410929121824979,0.6202828985855071,0.3797171014144929,0.5502556538978118,0.758907087817502,17,0.156619,0.243761,0.0,0.0,clarkS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.7016936343889709,0.2983063656110291,0.6202828985855071,0.3797171014144929,0.5307912938591609,0.7016936343889709,21,0.263022,1.0,0.0,0.0,clarkS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
