Object_ID, Length, Assignment
scaffold83904-13607,150,NA
scaffold118237-30478,150,NA
scaffold118348-1122,150,NA
scaffold17337-9396,150,NA
scaffold78903-135880,150,NA
scaffold129237-24349,150,NA
scaffold22114-2769,150,NA
scaffold40827-5966,150,NA
scaffold98237-24331,150,NA
scaffold116570-42923,150,NA
scaffold95237-50414,150,NA
scaffold80571-57034,150,NA
scaffold95681-9548,150,NA
scaffold110236-27004,150,NA
scaffold46160-1068,150,NA
scaffold69904-143928,150,NA
scaffold58383-207,150,NA
scaffold74348-39702,150,NA
scaffold94904-45621,150,NA
scaffold73904-138031,150,NA
scaffold79014-103024,150,NA
scaffold72237-133771,150,NA
scaffold97903-25886,150,NA
scaffold70215-504,150,NA
scaffold121570-8798,150,NA
scaffold109125-46266,150,NA
scaffold99459-8775,150,NA
scaffold80904-86983,150,NA
scaffold83904-39282,150,NA
scaffold107903-35392,150,NA
scaffold7004-13919,150,NA
scaffold114237-26097,150,NA
scaffold5448-28898,150,NA
scaffold119792-26924,150,NA
scaffold90681-32068,150,NA
scaffold68792-316782,150,NA
scaffold100125-65380,150,NA
scaffold127126-6143,150,NA
scaffold73904-53263,150,NA
scaffold89237-52659,150,NA
scaffold84459-10342,150,NA
scaffold89903-46976,150,NA
scaffold97903-41512,150,NA
scaffold93793-32775,150,NA
scaffold80281-20,150,NA
scaffold69793-118475,150,NA
scaffold120125-39440,150,NA
scaffold19337-6491,150,NA
scaffold69238-178237,150,NA
scaffold69238-161145,150,NA
scaffold69904-71677,150,NA
scaffold72015-72608,150,NA
scaffold97903-39865,150,NA
scaffold40838-9363,150,NA
scaffold68792-228349,150,NA
scaffold103126-21393,150,NA
scaffold69014-106357,150,NA
scaffold36559-2760,150,NA
scaffold93459-52184,150,NA
scaffold70237-167980,150,NA
scaffold97126-75046,150,NA
scaffold122282-84,150,NA
scaffold117348-28236,150,NA
scaffold116903-14536,150,NA
scaffold91793-71385,150,NA
scaffold85792-36022,150,NA
scaffold13115-19482,150,NA
scaffold53681-40,150,NA
scaffold122125-26165,150,NA
scaffold34671-1393,150,NA
scaffold102904-32180,150,NA
scaffold87681-64548,150,NA
scaffold126570-9608,150,NA
scaffold81015-8370,150,NA
scaffold42260-3067,150,NA
scaffold113125-40923,150,NA
scaffold35004-474,150,NA
scaffold103126-50681,150,NA
scaffold109348-52973,150,NA
scaffold94015-70,150,NA
scaffold75681-29984,150,NA
scaffold3115-10347,150,NA
scaffold72237-91630,150,NA
scaffold118903-45350,150,NA
scaffold43426-10406,150,NA
scaffold89903-63845,150,NA
scaffold71348-42139,150,NA
scaffold82793-61054,150,NA
scaffold25004-5587,150,NA
scaffold71682-2533,150,NA
scaffold23226-4094,150,NA
scaffold43426-4311,150,NA
scaffold127792-12207,150,NA
scaffold16671-4887,150,NA
scaffold6115-7015,150,NA
scaffold104681-21863,150,NA
scaffold125681-13276,150,NA
scaffold90903-27151,150,NA
scaffold98459-51648,150,NA
scaffold70126-114354,150,NA
scaffold89014-44166,150,NA
scaffold102014-47235,150,NA
scaffold27226-3316,150,NA
scaffold127459-18962,150,NA
scaffold3004-26450,150,NA
scaffold110014-506,150,NA
scaffold84681-91159,150,NA
scaffold84348-52814,150,NA
scaffold74348-51150,150,NA
scaffold71015-91393,150,NA
scaffold16782-3905,150,NA
scaffold68792-164938,150,NA
scaffold69904-28117,150,NA
scaffold18115-11079,150,NA
scaffold125792-14210,150,NA
scaffold116348-10237,150,NA
scaffold82348-33650,150,NA
scaffold123125-36567,150,NA
scaffold87015-143,150,NA
scaffold82126-18728,150,NA
scaffold40337-5074,150,NA
scaffold75015-86465,150,NA
scaffold128014-8411,150,NA
scaffold84015-7926,150,NA
scaffold72126-12615,150,NA
scaffold89237-51189,150,NA
scaffold98126-38285,150,NA
scaffold69014-635,150,NA
scaffold111570-11682,150,NA
scaffold108237-19200,150,NA
scaffold51027-130,150,NA
scaffold70682-134612,150,NA
scaffold100903-34951,150,NA
scaffold26448-10097,150,NA
scaffold74015-65296,150,NA
scaffold69125-120808,150,NA
scaffold85681-67417,150,NA
scaffold90125-66657,150,NA
scaffold33003-8277,150,NA
scaffold91014-15681,150,NA
scaffold77348-25849,150,NA
scaffold77792-67972,150,NA
scaffold98348-15612,150,NA
scaffold8115-187,150,NA
scaffold76348-145589,150,NA
scaffold82793-846,150,NA
scaffold99125-8403,150,NA
scaffold73570-143170,150,NA
scaffold86570-25604,150,NA
scaffold124776-140,150,NA
scaffold79681-54185,150,NA
scaffold74237-105633,150,NA
scaffold87015-32487,150,NA
scaffold97681-2824,150,NA
scaffold95015-33109,150,NA
scaffold68903-82775,150,NA
scaffold68903-287966,150,NA
scaffold89014-73626,150,NA
scaffold102458-57567,150,NA
scaffold72571-6049,150,NA
scaffold132014-21346,150,NA
scaffold16004-12290,150,NA
scaffold88681-36701,150,NA
scaffold127604-7,150,NA
scaffold96570-31163,150,NA
scaffold116792-13755,150,NA
scaffold71015-47495,150,NA
scaffold69904-154924,150,NA
scaffold77126-79526,150,NA
scaffold60337-3,150,NA
scaffold43548-1553,150,NA
scaffold113125-34930,150,NA
scaffold69793-31389,150,NA
scaffold31448-12492,150,NA
scaffold84459-20653,150,NA
scaffold41516-3749,150,NA
scaffold81237-1706,150,NA
scaffold76348-138899,150,NA
scaffold108014-6775,150,NA
scaffold100348-36174,150,NA
scaffold87836-70,150,NA
scaffold36893-2094,150,NA
scaffold33671-4793,150,NA
scaffold5560-10314,150,NA
scaffold69125-23742,150,NA
scaffold85570-62136,150,NA
scaffold108014-22109,150,NA
scaffold93904-60099,150,NA
scaffold74793-29829,150,NA
scaffold70349-55232,150,NA
scaffold69125-150227,150,NA
scaffold76570-45496,150,NA
scaffold47014-32403,150,NA
scaffold103237-8209,150,NA
scaffold75237-46628,150,NA
scaffold33396-40,150,NA
scaffold74904-91386,150,NA
scaffold6448-7433,150,NA
scaffold2893-5887,150,NA
scaffold96015-37048,150,NA
scaffold82793-72869,150,NA
scaffold131459-17403,150,NA
scaffold14115-6419,150,NA
scaffold81682-43656,150,NA
scaffold102904-52123,150,NA
scaffold111073-2,150,NA
scaffold85904-12179,150,NA
scaffold96348-63627,150,NA
scaffold121459-8681,150,NA
scaffold107903-36978,150,NA
scaffold25115-12309,150,NA
scaffold70126-119647,150,NA
scaffold91014-29022,150,NA
scaffold81348-2548,150,NA
scaffold89570-12570,150,NA
scaffold40927-2252,150,NA
scaffold87681-64819,150,NA
scaffold94015-31008,150,NA
scaffold104237-11016,150,NA
scaffold112903-6981,150,NA
scaffold72571-133651,150,NA
scaffold73459-24600,150,NA
scaffold13226-21582,150,NA
scaffold84570-9726,150,NA
scaffold87348-82586,150,NA
scaffold35115-6332,150,NA
scaffold81015-23699,150,NA
scaffold92571-8658,150,NA
scaffold2338-28576,150,NA
scaffold100125-87455,150,NA
scaffold97015-48486,150,NA
scaffold39670-9508,150,NA
scaffold79014-16489,150,NA
scaffold4004-4356,150,NA
scaffold96237-16506,150,NA
scaffold96570-29905,150,NA
scaffold105570-48151,150,NA
scaffold68792-187823,150,NA
scaffold130125-16141,150,NA
scaffold105459-52951,150,NA
scaffold98903-18900,150,NA
scaffold108348-30037,150,NA
scaffold75570-45571,150,NA
scaffold80793-84399,150,NA
scaffold124347-33040,150,NA
