Object_ID, Length, Assignment
NW_003302554.1-186706,150,NA
NW_003302551.1-1820855,150,NA
NW_003302555.1-1592948,150,NA
NW_003302554.1-320332,150,NA
NW_003302552.1-1999518,150,NA
NW_003302553.1-1558478,150,NA
NW_003302551.1-960076,150,NA
NW_003302552.1-1704630,150,NA
NW_003302551.1-796480,150,NA
NW_003302549.1-1556737,150,NA
NW_003302548.1-230784,150,NA
NW_003302554.1-560819,150,NA
NW_003302550.1-1907583,150,NA
NW_003302550.1-537356,150,NA
NW_003302553.1-45558,150,NA
NW_003302549.1-2402682,150,NA
NW_003302551.1-1052844,150,NA
NW_003302548.1-1221728,150,NA
NW_003302555.1-2942872,150,NA
NW_003302555.1-1672826,150,NA
NW_003302555.1-2858075,150,NA
NW_003302552.1-1168908,150,NA
NW_003302551.1-1932526,150,NA
NW_003302551.1-1616442,150,NA
NW_003302555.1-3099692,150,NA
NW_003302548.1-253672,150,NA
NW_003302553.1-525692,150,NA
NW_003302548.1-226306,150,NA
NW_003302552.1-1621382,150,NA
NW_003302550.1-733743,150,NA
NW_003302553.1-744539,150,NA
NW_003302554.1-1614076,150,NA
NW_003302549.1-1630185,150,NA
NW_003302548.1-1118651,150,NA
NW_003302554.1-832237,150,NA
NW_003302549.1-1711920,150,NA
NW_003302554.1-862425,150,NA
NW_003302549.1-2004010,150,NA
NW_003302549.1-996528,150,NA
NW_003302552.1-925368,150,NA
NW_003302554.1-475324,150,NA
NW_003302314.1-404,150,NA
NW_003302553.1-132987,150,NA
NW_003302554.1-1749929,150,NA
NW_003302553.1-125201,150,NA
NW_003302551.1-1454092,150,NA
NW_003302551.1-1415767,150,NA
NW_003302555.1-2967679,150,NA
NW_003302553.1-1634163,150,NA
NW_003302553.1-616213,150,NA
NW_003302554.1-1514371,150,NA
NW_003302555.1-1540899,150,NA
NW_003302551.1-990088,150,NA
NW_003302551.1-1598447,150,NA
NW_003302555.1-228940,150,NA
NW_003302555.1-2071242,150,NA
NW_003302550.1-804223,150,NA
NW_003302549.1-1914643,150,NA
NW_003302553.1-1665540,150,NA
NW_003302553.1-471806,150,NA
NW_003302549.1-194433,150,NA
NW_003302550.1-1263735,150,NA
NW_003302548.1-1672724,150,NA
NW_003301872.1-75,150,NA
NW_003302555.1-2966668,150,NA
NW_003302552.1-1353452,150,NA
NW_003302552.1-16232,150,NA
NW_003302548.1-961288,150,NA
NW_003302548.1-1189918,150,NA
NW_003302549.1-2387422,150,NA
NW_003302552.1-2284921,150,NA
NW_003302553.1-2045202,150,NA
NW_003302555.1-884907,150,NA
NW_003302552.1-701417,150,NA
NW_003302553.1-1944536,150,NA
NW_003302551.1-2045452,150,NA
NW_003302549.1-358415,150,NA
NW_003302555.1-1935590,150,NA
