bin,TP,FN,FP,TN,precision,recall,bin_size,bin_min,bin_max,time_s,tool
0,1.0,0.0,0.04925225373873131,0.9507477462612687,0.9530596636192737,1.0,10,0.0,0.0,37.8824,kraken
1,0.9320332468105101,0.06796675318948987,0.04925225373873131,0.9507477462612687,0.9498084362693996,0.9320332468105101,43,0.00014350299999999998,0.049462599999999995,32.040093023255814,kraken
2,0.6121129920666186,0.3878870079333814,0.04925225373873131,0.9507477462612687,0.9255294195588454,0.6121129920666186,19,0.05767100000000001,0.145727,31.51857894736842,kraken
3,0.23594705555883985,0.7640529444411601,0.04925225373873131,0.9507477462612687,0.8273058449544052,0.23594705555883985,17,0.156619,0.243761,31.98964705882353,kraken
4,0.09563880752024811,0.9043611924797519,0.04925225373873131,0.9507477462612687,0.6600738975146475,0.09563880752024811,21,0.263022,1.0,31.29552380952381,kraken
